"company","category","size","title","level","city","url","updated"
"Via","Automotive","l","Senior DevOps Engineer","Engineer","רמת גן","https://il.linkedin.com/jobs/view/senior-devops-engineer-at-via-4370472111?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-16"
"Microsoft","Productivity","l","Data Center Technician","Engineer","הרצליה","https://il.linkedin.com/jobs/view/data-center-technician-at-microsoft-4402941896?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-16"
"Toluna","Digital Media","m","Senior Cloud Engineer (Platform)","Engineer","חיפה","https://il.linkedin.com/jobs/view/senior-cloud-engineer-platform-at-toluna-4400400595?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-16"
"Intel","Semiconductors","l","Window infrastructure & DevOps Student","Student","חיפה","https://il.linkedin.com/jobs/view/window-infrastructure-devops-student-at-intel-4402131061?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-16"
"Plus500","Fintech","l","Senior WebApp Infrastructure Engineer","Engineer","חיפה","https://www.comeet.com/jobs/plus500/A1.00F/senior-webapp-infrastructure-engineer/E5.86D?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-15"
"MDClone","Health","m","Senior DevOps Engineer","Engineer","באר שבע","https://www.comeet.com/jobs/mdclone/66.004/senior-devops-engineer/B2.66D?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-15"
"DriveNets","Productivity","l","IT Devops Engineer","Engineer","רעננה","https://www.comeet.com/jobs/drivenets/72.006/it-devops-engineer/86.161?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-15"
"Coralogix","Cloud Computing","l","Senior Infrastructure Engineer","Engineer","רמת גן","https://www.comeet.com/jobs/coralogix/06.004/senior-infrastructure-engineer/62.264?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-15"
"GK8","Fintech","m","NOC Engineer","Engineer","רמת גן","https://www.comeet.com/jobs/gk8bygalaxy/E8.000/noc-engineer/5C.76F?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-15"
"Pentera","Cybersecurity","l","DevOps Engineer","Engineer","פתח תקווה","https://www.comeet.com/jobs/pentera/C5.00D/devops-engineer/A3.E56?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-15"
"Cellebrite","Cybersecurity","l","Embedded Linux & Security Engineer","Engineer","פתח תקווה","https://www.comeet.com/jobs/Cellebrite/C3.00F/embedded-linux--security-engineer/84.561?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-15"
"Tipalti","Fintech","l","DevOps Engineer","Engineer","תל אביב-יפו","https://il.linkedin.com/jobs/view/devops-engineer-at-tipalti-4402618814?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-15"
"Zemingo","Productivity","m","Delivery Manager","Manager","רמת גן","https://il.linkedin.com/jobs/view/delivery-manager-at-zemingo-4402265908?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-15"
"Anecdotes","Cybersecurity","m","DevOps Engineer (Entry Level) – Integration Labs","Engineer","תל אביב-יפו","https://il.linkedin.com/jobs/view/devops-engineer-entry-level-%E2%80%93-integration-labs-at-anecdotes-4402548074?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-15"
"Zenity","Cybersecurity","s","DevOps Tech Lead","Manager","תל אביב-יפו","https://il.linkedin.com/jobs/view/devops-tech-lead-at-zenity-4392193534?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-15"
"Silverfort","Cybersecurity","l","Infrastructure and Cloud Engineer","Engineer","תל אביב-יפו","https://il.linkedin.com/jobs/view/infrastructure-and-cloud-engineer-at-silverfort-4399936284?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-15"
