"company","category","size","title","level","city","url","updated"
"BIRD Aerosystems","Aerospace","m","Technical Manager","Manager","הרצליה","https://www.comeet.com/jobs/birdaero/97.006/technical-manager/9B.C57?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-14"
"Lumenis","Health","l","Technical  Project Manager","Manager","יוקנעם עילית","https://www.comeet.com/jobs/lumenis/A1.00C/technical--project-manager/6C.861?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-13"
"Magenta Medical","Health","m","Senior Project Manager (PMO) – Medical Devices","Manager","ירושלים","https://il.linkedin.com/jobs/view/senior-project-manager-pmo-%E2%80%93-medical-devices-at-magenta-medical-ltd-4399630492?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-13"
"Magenta Medical","Health","m","Materials Project Engineer- Medical Device","Manager","ירושלים","https://il.linkedin.com/jobs/view/materials-project-engineer-medical-device-at-magenta-medical-ltd-4399602368?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-13"
"Wiz","Cybersecurity","l","Technical Project Manager","Manager","תל אביב-יפו","https://il.linkedin.com/jobs/view/technical-project-manager-at-wiz-4357810013?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-13"
"ITC Intelligent Traffic Control","Automotive","s","Project Manager","Manager","תל אביב-יפו","https://il.linkedin.com/jobs/view/project-manager-at-itc-intelligent-traffic-control-4399511533?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-13"
"Rafael Advanced Defense Systems","Aerospace","l","Communication Project Manager","Manager","חיפה","https://il.linkedin.com/jobs/view/communication-project-manager-at-rafael-advanced-defense-systems-4368172074?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-13"
"Rafael Advanced Defense Systems","Aerospace","l","Applications Project Manager","Manager","חיפה","https://il.linkedin.com/jobs/view/applications-project-manager-at-rafael-advanced-defense-systems-4401306013?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-13"
"Comda","Cybersecurity","m","Senior Project Manager","Manager","תל אביב-יפו","https://il.linkedin.com/jobs/view/senior-project-manager-at-comda-4399516403?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-13"
"Bagira Systems","Aerospace","m","Project Manager","Manager","חולון","https://il.linkedin.com/jobs/view/project-manager-at-bagira-4399891799?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-09"
"Mobileye","Automotive","l","AV Project Manager Engineer -Relocation to Berlin, Germany","Manager","ירושלים","https://il.linkedin.com/jobs/view/av-project-manager-engineer-relocation-to-berlin-germany-at-mobileye-4376745388?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-09"
"Buildots","Robotics & Automation","l","Project Manager","Manager","תל אביב-יפו","https://il.linkedin.com/jobs/view/project-manager-at-buildots-4397949821?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-06"
"Priority Software","Cloud Computing","l","Priority Project Manager","Manager","ראש העין","https://il.linkedin.com/jobs/view/priority-project-manager-at-priority-software-4394443307?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-06"
"Magenta Medical","Health","m","Senior Mechanical Project Engineer","Manager","ירושלים","https://il.linkedin.com/jobs/view/senior-mechanical-project-engineer-at-magenta-medical-ltd-4394412353?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-05"
"Mobileye","Automotive","l","Senior Technical Project Manager (Autonomous Driving)","Manager","ירושלים","https://il.linkedin.com/jobs/view/senior-technical-project-manager-autonomous-driving-at-mobileye-4394416524?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-05"
