"company","category","size","title","level","city","url","updated"
"Aidoc","Health","l","Principal Software Engineer, ML Platform","Scientist","תל אביב-יפו","https://www.comeet.com/jobs/Aidoc/B4.007/principal-software-engineer-ml-platform/8A.E52?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-18"
"Aidoc","Health","l","Strategic Business Data Scientist","Scientist","תל אביב-יפו","https://www.comeet.com/jobs/Aidoc/B4.007/strategic-business-data-scientist/7E.462?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-18"
"WSC Sports Technologies","Digital Media","l","Algorithm Developer GenAI","Scientist","רמת גן","https://www.comeet.com/jobs/wsc-sports/93.007/algorithm-developer-genai/A9.069?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-18"
"WSC Sports Technologies","Digital Media","l","ML Engineering Team Lead","Manager","רמת גן","https://www.comeet.com/jobs/wsc-sports/93.007/ml-engineering-team-lead/65.56E?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-18"
"Final","Fintech","l","Deep Learning Engineer","Scientist","הרצליה","https://www.comeet.com/jobs/final/C0.009/deep-learning-engineer/BD.76C?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-18"
"Nuvei","Fintech","xl","Machine learning operations engineer","Scientist","תל אביב-יפו","https://il.linkedin.com/jobs/view/machine-learning-operations-engineer-at-nuvei-4390940549?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-18"
"Booking.com","E-commerce & Retail","xl","Data Engineer II - GenAI","Scientist","תל אביב-יפו","https://il.linkedin.com/jobs/view/data-engineer-ii-genai-at-booking-com-4300566172?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-18"
"Dream Security","Cybersecurity","m","Senior Data Scientist - AI Research","Scientist","רמת גן","https://il.linkedin.com/jobs/view/senior-data-scientist-ai-research-at-dream-4392037463?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-18"
"Dream Security","Cybersecurity","m","Senior AI Engineer - Applied AI Engineering Group","Scientist","רמת גן","https://il.linkedin.com/jobs/view/senior-ai-engineer-applied-ai-engineering-group-at-dream-4346730379?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-18"
"365Scores","Digital Media","l","Product AI Engineer (Growth & Innovation)","Scientist","תל אביב-יפו","https://www.comeet.com/jobs/365scores/B3.006/product-ai-engineer-growth--innovation/B5.861?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-17"
"Aidoc","Health","l","AI Algorithms Team Lead","Manager","תל אביב-יפו","https://www.comeet.com/jobs/Aidoc/B4.007/ai-algorithms-team-lead/8B.E50?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-17"
"Fetcherr","AI/ML","m","AI Data Engineer","Scientist","נתניה","https://www.comeet.com/jobs/fetcherr/68.006/ai-data-engineer/F1.661?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-17"
"WSC Sports Technologies","Digital Media","l","Multimodal Algorithm Developer","Scientist","רמת גן","https://www.comeet.com/jobs/wsc-sports/93.007/multimodal-algorithm-developer/19.053?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-17"
"Skai","AdTech","l","Senior Data Scientist","Scientist","תל אביב-יפו","https://www.comeet.com/jobs/skai/22.00A/senior-data-scientist/86.C50?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-17"
"Align Technology","Health","xl","AI Agent & Process Automation Analyst","Scientist","פתח תקווה","https://il.linkedin.com/jobs/view/ai-agent-process-automation-analyst-at-align-technology-4380091760?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-17"
"AxonPulse","AI/ML","s","Deep Learning Team Lead","Manager","תל אביב-יפו","https://il.linkedin.com/jobs/view/deep-learning-team-lead-at-axon-pulse-4400716426?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-17"
"Thales","Cybersecurity","m","Data Scientist","Scientist","פתח תקווה","https://il.linkedin.com/jobs/view/data-scientist-at-thales-4381496031?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-17"
"Nuvei","Fintech","xl","Data Scientist Team lead","Manager","תל אביב-יפו","https://il.linkedin.com/jobs/view/data-scientist-team-lead-at-nuvei-4402372692?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-17"
"WalkMe","Productivity","l","Pre-Sales AI Consultant","Scientist","תל אביב-יפו","https://il.linkedin.com/jobs/view/pre-sales-ai-consultant-at-walkme-4390885447?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-17"
"torq","Cybersecurity","m","Senior AI Researcher","Scientist","תל אביב-יפו","https://il.linkedin.com/jobs/view/senior-ai-researcher-at-torq-4362096427?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-17"
"Mobileye","Automotive","l","AI Algorithm Engineer - Localization Team","Scientist","ירושלים","https://il.linkedin.com/jobs/view/ai-algorithm-engineer-localization-team-at-mobileye-4360948643?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-17"
"CyberArk","Cybersecurity","l","Senior Software Engineer - Data & AI Platform","Scientist","פתח תקווה","https://il.linkedin.com/jobs/view/senior-software-engineer-data-ai-platform-at-cyberark-4362624446?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-17"
"JFrog","Cloud Computing","l","R&D Team Leader, AI-Native - JFrog Fly","Manager","נתניה","https://il.linkedin.com/jobs/view/r-d-team-leader-ai-native-jfrog-fly-at-jfrog-4336721050?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-17"
"ThetaRay","Fintech","m","Senior Algorithm Engineer","Scientist","הוד השרון","https://www.comeet.com/jobs/thetaray/72.00F/senior-algorithm-engineer/F6.86A?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-16"
"mPrest","IoT","m","Senior Tracking and Data Fusion Algorithm Engineer","Scientist","פתח תקווה","https://www.comeet.com/jobs/mprest/38.005/senior-tracking-and-data-fusion-algorithm-engineer/3F.267?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-16"
"365Scores","Digital Media","l","Senior Data Scientist","Scientist","תל אביב-יפו","https://www.comeet.com/jobs/365scores/B3.006/senior-data-scientist/AB.560?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-16"
"ActiveFence","Cybersecurity","l","Research Team Lead - Online Child Safety","Manager","בנימינה גבעת עדה","https://www.comeet.com/jobs/alice/D5.005/research-team-lead---online-child-safety/32.F5D-D5.20E?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-16"
"Fetcherr","AI/ML","m","AI Data Team Lead","Manager","נתניה","https://www.comeet.com/jobs/fetcherr/68.006/ai-data-team-lead/0C.563-9D.50A?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-16"
"WSC Sports Technologies","Digital Media","l","Generative AI Evangelist","Scientist","רמת גן","https://www.comeet.com/jobs/wsc-sports/93.007/generative-ai-evangelist/66.85E?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-16"
"Qualcomm","Telecommunications","l","Staff AI/ML Research Engineer - Qualcomm, Hod HaSharon, Israel","Scientist","טירת כרמל","https://il.linkedin.com/jobs/view/staff-ai-ml-research-engineer-qualcomm-hod-hasharon-israel-at-qualcomm-4370665769?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-16"
"Oriient","AI/ML","s","Algorithm Developer","Scientist","תל אביב-יפו","https://il.linkedin.com/jobs/view/algorithm-developer-at-oriient-4402905630?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-16"
"Innodata","AI/ML","xl","AI Engineer","Scientist","ירושלים","https://il.linkedin.com/jobs/view/ai-engineer-at-innodata-inc-4400176831?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-16"
"GSI Technology","Semiconductors","s","Software Engineer for AI Chip","Scientist","תל אביב-יפו","https://il.linkedin.com/jobs/view/software-engineer-for-ai-chip-at-gsi-technology-4402903322?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-16"
"Playo","Digital Media","xs","GenAI Production Assistant","Scientist","תל אביב-יפו","https://il.linkedin.com/jobs/view/genai-production-assistant-at-playo-ai-4400195922?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-16"
"Winn.ai","Productivity","s","Head of AI","Executive","תל אביב-יפו","https://il.linkedin.com/jobs/view/head-of-ai-at-winn-ai-4402116224?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-16"
"Zenity","Cybersecurity","s","Senior AI Researcher","Scientist","תל אביב-יפו","https://il.linkedin.com/jobs/view/senior-ai-researcher-at-zenity-4401843999?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-16"
"CommBox","Telecommunications","m","Senior Backend Developer - AI Engineering","Scientist","גליל ים","https://il.linkedin.com/jobs/view/senior-backend-developer-ai-engineering-at-commbox-4402940561?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-16"
"Google","Digital Media","xl","Staff Data Scientist, GenAI and Agentic SOC","Scientist","תל אביב-יפו","https://il.linkedin.com/jobs/view/staff-data-scientist-genai-and-agentic-soc-at-google-4400427813?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-16"
"monday.com","Productivity","l","AI Innovation Builder – CCO Tech & AI","Scientist","תל אביב-יפו","https://il.linkedin.com/jobs/view/ai-innovation-builder-%E2%80%93-cco-tech-ai-at-monday-com-4390844859?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-16"
"Dream Security","Cybersecurity","m","Senior ML Engineer - Applied AI Engineering Group","Scientist","רמת גן","https://il.linkedin.com/jobs/view/senior-ml-engineer-applied-ai-engineering-group-at-dream-4364316701?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-16"
"abra","Productivity","l","AI Evaluation & Reliability Engineer","Scientist","רעננה","https://il.linkedin.com/jobs/view/ai-evaluation-reliability-engineer-at-abra-4401850442?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-16"
"Mobileye","Automotive","l","Computer Vision Algorithms Developer","Scientist","ירושלים","https://il.linkedin.com/jobs/view/computer-vision-algorithms-developer-at-mobileye-4316491875?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-16"
"DoubleVerify","AdTech","l","Senior AI Engineer","Scientist","תל-אביב","https://il.linkedin.com/jobs/view/senior-ai-engineer-at-doubleverify-4370965369?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-16"
"ARM","Semiconductors","m","Staff Software ML Engineer","Scientist","רעננה","https://il.linkedin.com/jobs/view/staff-software-ml-engineer-at-arm-4401899826?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-16"
"Forter","Fintech","l","Senior Software Engineer, ML Platform","Scientist","תל אביב-יפו","https://il.linkedin.com/jobs/view/senior-software-engineer-ml-platform-at-forter-4346437636?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-16"
"Mobileye","Automotive","l","Algorithm Developer for Geometric Team","Scientist","ירושלים","https://il.linkedin.com/jobs/view/algorithm-developer-for-geometric-team-at-mobileye-4402133293?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-16"
