"company","category","size","title","level","city","url","updated"
"Lightricks","Digital Media","l","Internal Brand Designer","Designer","ירושלים","https://il.linkedin.com/jobs/view/internal-brand-designer-at-lightricks-4364585929?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-12"
"Wolt","E-commerce & Retail","xl","(GA Part Time, Beer Sheva) מלקטים חצי משרה - באר שבע","Designer","תל אביב-יפו","https://il.linkedin.com/jobs/view/ga-part-time-beer-sheva-%D7%9E%D7%9C%D7%A7%D7%98%D7%99%D7%9D-%D7%97%D7%A6%D7%99-%D7%9E%D7%A9%D7%A8%D7%94-%D7%91%D7%90%D7%A8-%D7%A9%D7%91%D7%A2-at-wolt-4399385306?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-12"
"BigID","Cybersecurity","l","Design System Lead","Manager","תל אביב-יפו","https://il.linkedin.com/jobs/view/design-system-lead-at-bigid-4388647476?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-12"
"BigID","Cybersecurity","l","Sr. UX & Product Designer","Designer","תל אביב-יפו","https://il.linkedin.com/jobs/view/sr-ux-product-designer-at-bigid-4388652006?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-12"
"accessiBe","Productivity","l","Product Design Team Lead","Manager","תל אביב-יפו","https://il.linkedin.com/jobs/view/product-design-team-lead-at-accessibe-4400997737?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-12"
"Lightricks","Digital Media","l","Product & Marketing Design Student Role","Student","ירושלים","https://il.linkedin.com/jobs/view/product-marketing-design-student-role-at-lightricks-4399359207?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-12"
"Elbit Systems","Aerospace","l","Student for Tooling Design Engineeri","Student","חיפה","https://il.linkedin.com/jobs/view/student-for-tooling-design-engineeri-at-elbit-systems-israel-4386614439?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-12"
"Retym","Productivity","s","Analog Design Engineer","Designer","תל אביב-יפו","https://www.comeet.com/jobs/retym/C6.003/analog-design-engineer/67.051?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-11"
"Intuit","Fintech","xl","Design Manager - QuickBooks Bill Pay","Manager","פתח תקווה","https://il.linkedin.com/jobs/view/design-manager-quickbooks-bill-pay-at-intuit-4377231890?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-11"
"Agoda.com","E-commerce & Retail","xl","Product Designer - Localization (Bangkok - Based, Relocation Provided)","Designer","רמת גן","https://il.linkedin.com/jobs/view/product-designer-localization-bangkok-based-relocation-provided-at-agoda-4362982953?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-11"
"Elbit Systems","Aerospace","l","Mechanical Design Engineer","Designer","חיפה","https://il.linkedin.com/jobs/view/mechanical-design-engineer-at-elbit-systems-israel-4375565338?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-11"
"AutoFleet","Automotive","m","UX/UI Designer","Designer","תל אביב-יפו","https://il.linkedin.com/jobs/view/ux-ui-designer-at-autofleet-4384936432?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-10"
"Lightricks","Digital Media","l","Creative Director, LTX","Executive","ירושלים","https://il.linkedin.com/jobs/view/creative-director-ltx-at-lightricks-4385497333?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-10"
"Cisco Systems","Telecommunications","l","Senior Asic Design  - Cisco Silicon One","Designer","נתניה","https://il.linkedin.com/jobs/view/senior-asic-design-cisco-silicon-one-at-cisco-4335374715?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-10"
"Quantum Machines","IoT","m","Logic Design Engineer","Designer","תל אביב-יפו","https://il.linkedin.com/jobs/view/logic-design-engineer-at-quantum-machines-4326599971?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-10"
"Nvidia","AI/ML","l","Senior Firmware Design Engineer","Designer","תל אביב-יפו","https://il.linkedin.com/jobs/view/senior-firmware-design-engineer-at-nvidia-4398191801?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-10"
"Elbit Systems","Aerospace","l","Lead Mechanical Design Engineer","Designer","חיפה","https://il.linkedin.com/jobs/view/lead-mechanical-design-engineer-at-elbit-systems-israel-4375574147?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-10"
"Guardio","Cybersecurity","m","Head of Creative Performance","Executive","תל אביב-יפו","https://www.comeet.com/jobs/guardio/57.000/head-of-creative-performance/EC.562?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-09"
"Riverside.fm","AI/ML","l","Marketing Design Team Lead","Manager","תל אביב-יפו","https://www.comeet.com/jobs/riverside-fm/66.009/marketing-design-team-lead/C0.261?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-09"
"Google","Digital Media","xl","Design Engineer, Google Cloud, Networking","Designer","תל אביב-יפו","https://il.linkedin.com/jobs/view/design-engineer-google-cloud-networking-at-google-4376407698?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-09"
"Bria AI","Productivity","s","Motion Designer","Designer","תל אביב-יפו","https://il.linkedin.com/jobs/view/motion-designer-at-bria-ai-4384167164?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-09"
"Playtika","Gaming","l","UI/UX Designer","Designer","הרצליה","https://il.linkedin.com/jobs/view/ui-ux-designer-at-playtika-4381722908?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-09"
"Quantum Machines","IoT","m","Senior Marketing Designer","Designer","תל אביב-יפו","https://il.linkedin.com/jobs/view/senior-marketing-designer-at-quantum-machines-4324958926?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-09"
"Intel","Semiconductors","l","Logic Design Engineer","Designer","פתח תקווה","https://il.linkedin.com/jobs/view/logic-design-engineer-at-intel-4386867872?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-09"
"Nvidia","AI/ML","l","Firmware Design Engineer","Designer","תל אביב-יפו","https://il.linkedin.com/jobs/view/firmware-design-engineer-at-nvidia-4397651142?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-09"
"SuperPlay","Gaming","l","3D Artist","Designer","תל אביב-יפו","https://www.comeet.com/jobs/superplay/28.003/3d-artist/3F.263?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-08"
